iter	Passed	Remaining
645	35545	19478
646	35599	19423
647	35651	19366
648	35699	19307
649	35751	19251
650	35803	19194
651	35857	19138
652	35906	19080
653	35959	19024
654	36009	18967
655	36059	18909
656	36110	18852
657	36162	18795
658	36216	18740
659	36270	18684
660	36318	18626
661	36370	18569
662	36424	18514
663	36473	18456
664	36529	18402
665	36589	18349
666	36647	18296
667	36704	18242
668	36754	18184
669	36806	18128
670	36866	18075
671	36917	18019
672	36967	17961
673	37019	17905
674	37074	17850
675	37123	17792
676	37177	17737
677	37245	17688
678	37306	17636
679	37369	17585
680	37425	17531
681	37485	17478
682	37541	17424
683	37597	17369
684	37666	17321
685	37722	17266
686	37783	17214
687	37844	17162
688	37895	17105
689	37955	17052
690	38017	17000
691	38064	16942
692	38113	16884
693	38178	16833
694	38234	16779
695	38289	16724
696	38339	16666
697	38385	16608
698	38443	16554
699	38496	16498
700	38546	16441
701	38599	16385
702	38659	16332
703	38707	16274
704	38756	16217
705	38815	16163
706	38869	16108
707	38918	16051
708	38969	15994
709	39004	15931
710	39067	15879
711	39127	15826
712	39187	15774
713	39245	15720
714	39307	15668
715	39361	15612
716	39414	15557
717	39472	15503
718	39522	15446
719	39587	15395
720	39636	15338
721	39697	15285
722	39768	15236
723	39825	15182
724	39878	15126
725	39925	15068
726	39976	15011
727	40037	14959
728	40090	14903
729	40137	14845
730	40185	14787
731	40242	14733
732	40293	14677
733	40342	14619
734	40396	14564
735	40449	14509
736	40498	14452
737	40547	14394
738	40604	14340
739	40667	14288
740	40720	14232
741	40769	14175
742	40826	14121
743	40896	14071
744	40954	14018
745	41015	13965
746	41076	13912
747	41129	13856
748	41178	13799
749	41227	13742
750	41279	13686
751	41344	13634
752	41392	13577
753	41444	13521
754	41497	13466
755	41552	13411
756	41606	13355
757	41659	13300
758	41711	13244
759	41769	13190
760	41822	13134
761	41870	13077
762	41928	13023
763	41984	12968
764	42036	12913
765	42085	12856
766	42141	12801
767	42194	12746
768	42246	12690
769	42298	12634
770	42348	12578
771	42410	12525
772	42457	12468
773	42507	12411
774	42559	12355
775	42620	12302
776	42673	12247
777	42722	12190
778	42781	12137
779	42832	12080
780	42882	12024
781	42933	11968
782	42981	11911
783	43042	11858
784	43092	11802
785	43141	11746
786	43189	11689
787	43241	11633
788	43304	11580
789	43357	11525
790	43407	11469
791	43456	11412
792	43506	11356
793	43567	11303
794	43626	11249
795	43676	11193
796	43732	11138
797	43786	11083
798	43849	11030
799	43899	10974
800	43948	10918
801	44002	10863
802	44054	10807
803	44103	10751
804	44149	10694
805	44208	10640
806	44267	10586
807	44317	10530
808	44367	10474
809	44418	10419
810	44473	10364
811	44535	10311
812	44589	10256
813	44641	10200
814	44694	10145
815	44751	10091
